"District","FIPS","Year","English Learner Status","Variable","Measure Type","Value"
"Bethany School District","","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Bethany School District","","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"Bethany School District","","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"Bethany School District","","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"Bethany School District","","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Bethel School District","900104720","2009-2010","English Language Learner","Suspensions","Percent","12.6"
"Bethel School District","900104720","2010-2011","English Language Learner","Suspensions","Percent","13.1"
"Bethel School District","900104720","2011-2012","English Language Learner","Suspensions","Percent","8.1"
"Bethel School District","900104720","2012-2013","English Language Learner","Suspensions","Percent","7.3"
"Bethel School District","900104720","2013-2014","English Language Learner","Suspensions","Percent","-9999"
"Bethel School District","900104720","2014-2015","English Language Learner","Suspensions","Percent","6.4"
"Bethel School District","900104720","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Bethel School District","900104720","2016-2017","English Language Learner","Suspensions","Percent","6.2"
"Bethel School District","900104720","2017-2018","English Language Learner","Suspensions","Percent","3.9"
"Bethel School District","900104720","2018-2019","English Language Learner","Suspensions","Percent","6.6"
"Bethel School District","900104720","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Bloomfield School District","900305910","2009-2010","English Language Learner","Suspensions","Percent","-9999"
"Bloomfield School District","900305910","2010-2011","English Language Learner","Suspensions","Percent","-9999"
"Bloomfield School District","900305910","2011-2012","English Language Learner","Suspensions","Percent","16.2"
"Bloomfield School District","900305910","2012-2013","English Language Learner","Suspensions","Percent","-9999"
"Bloomfield School District","900305910","2013-2014","English Language Learner","Suspensions","Percent","25.0"
"Bloomfield School District","900305910","2014-2015","English Language Learner","Suspensions","Percent","-9999"
"Bloomfield School District","900305910","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Bloomfield School District","900305910","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"Bloomfield School District","900305910","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"Bloomfield School District","900305910","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"Bloomfield School District","900305910","2019-2020","English Language Learner","Suspensions","Percent","12.7"
"Bolton School District","901306260","2009-2010","English Language Learner","Suspensions","Percent","-9999"
"Bolton School District","901306260","2010-2011","English Language Learner","Suspensions","Percent","-9999"
"Bolton School District","901306260","2011-2012","English Language Learner","Suspensions","Percent","-9999"
"Bolton School District","901306260","2012-2013","English Language Learner","Suspensions","Percent","-9999"
"Bolton School District","901306260","2013-2014","English Language Learner","Suspensions","Percent","-9999"
"Bolton School District","901306260","2014-2015","English Language Learner","Suspensions","Percent","-9999"
"Bolton School District","901306260","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Bolton School District","901306260","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"Bolton School District","901306260","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"Bolton School District","901306260","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"Bolton School District","901306260","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Booker T Washington Academy District","","2009-2010","English Language Learner","Suspensions","Percent","-6666"
"Booker T Washington Academy District","","2010-2011","English Language Learner","Suspensions","Percent","-6666"
"Booker T Washington Academy District","","2011-2012","English Language Learner","Suspensions","Percent","-6666"
"Booker T Washington Academy District","","2012-2013","English Language Learner","Suspensions","Percent","-6666"
"Booker T Washington Academy District","","2013-2014","English Language Learner","Suspensions","Percent","-6666"
"Booker T Washington Academy District","","2014-2015","English Language Learner","Suspensions","Percent","-6666"
"Booker T Washington Academy District","","2015-2016","English Language Learner","Suspensions","Percent","-6666"
"Booker T Washington Academy District","","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"Booker T Washington Academy District","","2017-2018","English Language Learner","Suspensions","Percent","-6666"
"Booker T Washington Academy District","","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"Booker T Washington Academy District","","2019-2020","English Language Learner","Suspensions","Percent","-6666"
"Bozrah School District","","2009-2010","English Language Learner","Suspensions","Percent","-6666"
"Bozrah School District","","2010-2011","English Language Learner","Suspensions","Percent","-6666"
"Bozrah School District","","2011-2012","English Language Learner","Suspensions","Percent","-6666"
"Bozrah School District","","2012-2013","English Language Learner","Suspensions","Percent","-9999"
"Bozrah School District","","2013-2014","English Language Learner","Suspensions","Percent","-9999"
"Bozrah School District","","2014-2015","English Language Learner","Suspensions","Percent","-9999"
"Bozrah School District","","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Bozrah School District","","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"Bozrah School District","","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"Bozrah School District","","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"Bozrah School District","","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Branford School District","900907310","2009-2010","English Language Learner","Suspensions","Percent","-9999"
"Branford School District","900907310","2010-2011","English Language Learner","Suspensions","Percent","-9999"
"Branford School District","900907310","2011-2012","English Language Learner","Suspensions","Percent","4.8"
"Branford School District","900907310","2012-2013","English Language Learner","Suspensions","Percent","-9999"
"Branford School District","900907310","2013-2014","English Language Learner","Suspensions","Percent","-9999"
"Branford School District","900907310","2014-2015","English Language Learner","Suspensions","Percent","-9999"
"Branford School District","900907310","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Branford School District","900907310","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"Branford School District","900907310","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"Branford School District","900907310","2018-2019","English Language Learner","Suspensions","Percent","4.7"
"Branford School District","900907310","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Brass City Charter School District","","2009-2010","English Language Learner","Suspensions","Percent","-6666"
"Brass City Charter School District","","2010-2011","English Language Learner","Suspensions","Percent","-6666"
"Brass City Charter School District","","2011-2012","English Language Learner","Suspensions","Percent","-6666"
"Brass City Charter School District","","2012-2013","English Language Learner","Suspensions","Percent","-6666"
"Brass City Charter School District","","2013-2014","English Language Learner","Suspensions","Percent","-6666"
"Brass City Charter School District","","2014-2015","English Language Learner","Suspensions","Percent","-6666"
"Brass City Charter School District","","2015-2016","English Language Learner","Suspensions","Percent","-6666"
"Brass City Charter School District","","2016-2017","English Language Learner","Suspensions","Percent","-6666"
"Brass City Charter School District","","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"Brass City Charter School District","","2018-2019","English Language Learner","Suspensions","Percent","-6666"
"Brass City Charter School District","","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Bridgeport School District","900108070","2009-2010","English Language Learner","Suspensions","Percent","12.6"
"Bridgeport School District","900108070","2010-2011","English Language Learner","Suspensions","Percent","14.4"
"Bridgeport School District","900108070","2011-2012","English Language Learner","Suspensions","Percent","12.1"
"Bridgeport School District","900108070","2012-2013","English Language Learner","Suspensions","Percent","12.0"
"Bridgeport School District","900108070","2013-2014","English Language Learner","Suspensions","Percent","11.4"
"Bridgeport School District","900108070","2014-2015","English Language Learner","Suspensions","Percent","11.1"
"Bridgeport School District","900108070","2015-2016","English Language Learner","Suspensions","Percent","11.5"
"Bridgeport School District","900108070","2016-2017","English Language Learner","Suspensions","Percent","8.5"
"Bridgeport School District","900108070","2017-2018","English Language Learner","Suspensions","Percent","7.8"
"Bridgeport School District","900108070","2018-2019","English Language Learner","Suspensions","Percent","6.2"
"Bridgeport School District","900108070","2019-2020","English Language Learner","Suspensions","Percent","4.7"
"Bristol School District","900308490","2009-2010","English Language Learner","Suspensions","Percent","8.9"
"Bristol School District","900308490","2010-2011","English Language Learner","Suspensions","Percent","13.3"
"Bristol School District","900308490","2011-2012","English Language Learner","Suspensions","Percent","11.1"
"Bristol School District","900308490","2012-2013","English Language Learner","Suspensions","Percent","11.4"
"Bristol School District","900308490","2013-2014","English Language Learner","Suspensions","Percent","10.7"
"Bristol School District","900308490","2014-2015","English Language Learner","Suspensions","Percent","9.7"
"Bristol School District","900308490","2015-2016","English Language Learner","Suspensions","Percent","7.6"
"Bristol School District","900308490","2016-2017","English Language Learner","Suspensions","Percent","7.7"
"Bristol School District","900308490","2017-2018","English Language Learner","Suspensions","Percent","8.0"
"Bristol School District","900308490","2018-2019","English Language Learner","Suspensions","Percent","13.8"
"Bristol School District","900308490","2019-2020","English Language Learner","Suspensions","Percent","5.6"
"Brookfield School District","900108980","2009-2010","English Language Learner","Suspensions","Percent","-9999"
"Brookfield School District","900108980","2010-2011","English Language Learner","Suspensions","Percent","-9999"
"Brookfield School District","900108980","2011-2012","English Language Learner","Suspensions","Percent","-9999"
"Brookfield School District","900108980","2012-2013","English Language Learner","Suspensions","Percent","-9999"
"Brookfield School District","900108980","2013-2014","English Language Learner","Suspensions","Percent","-9999"
"Brookfield School District","900108980","2014-2015","English Language Learner","Suspensions","Percent","-9999"
"Brookfield School District","900108980","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Brookfield School District","900108980","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"Brookfield School District","900108980","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"Brookfield School District","900108980","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"Brookfield School District","900108980","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Brooklyn School District","","2009-2010","English Language Learner","Suspensions","Percent","-9999"
"Brooklyn School District","","2010-2011","English Language Learner","Suspensions","Percent","-9999"
"Brooklyn School District","","2011-2012","English Language Learner","Suspensions","Percent","-9999"
"Brooklyn School District","","2012-2013","English Language Learner","Suspensions","Percent","-9999"
"Brooklyn School District","","2013-2014","English Language Learner","Suspensions","Percent","-9999"
"Brooklyn School District","","2014-2015","English Language Learner","Suspensions","Percent","-9999"
"Brooklyn School District","","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Brooklyn School District","","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"Brooklyn School District","","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"Brooklyn School District","","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"Brooklyn School District","","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Canaan School District","","2009-2010","English Language Learner","Suspensions","Percent","-6666"
"Canaan School District","","2010-2011","English Language Learner","Suspensions","Percent","-6666"
"Canaan School District","","2011-2012","English Language Learner","Suspensions","Percent","-6666"
"Canaan School District","","2012-2013","English Language Learner","Suspensions","Percent","-9999"
"Canaan School District","","2013-2014","English Language Learner","Suspensions","Percent","-9999"
"Canaan School District","","2014-2015","English Language Learner","Suspensions","Percent","-9999"
"Canaan School District","","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Canaan School District","","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"Canaan School District","","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"Canaan School District","","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"Canaan School District","","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Canterbury School District","","2009-2010","English Language Learner","Suspensions","Percent","-9999"
"Canterbury School District","","2010-2011","English Language Learner","Suspensions","Percent","-9999"
"Canterbury School District","","2011-2012","English Language Learner","Suspensions","Percent","-9999"
"Canterbury School District","","2012-2013","English Language Learner","Suspensions","Percent","-6666"
"Canterbury School District","","2013-2014","English Language Learner","Suspensions","Percent","-9999"
"Canterbury School District","","2014-2015","English Language Learner","Suspensions","Percent","-6666"
"Canterbury School District","","2015-2016","English Language Learner","Suspensions","Percent","-6666"
"Canterbury School District","","2016-2017","English Language Learner","Suspensions","Percent","-6666"
"Canterbury School District","","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"Canterbury School District","","2018-2019","English Language Learner","Suspensions","Percent","-6666"
"Canterbury School District","","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Canton School District","900312270","2009-2010","English Language Learner","Suspensions","Percent","-9999"
"Canton School District","900312270","2010-2011","English Language Learner","Suspensions","Percent","-9999"
"Canton School District","900312270","2011-2012","English Language Learner","Suspensions","Percent","-9999"
"Canton School District","900312270","2012-2013","English Language Learner","Suspensions","Percent","-9999"
"Canton School District","900312270","2013-2014","English Language Learner","Suspensions","Percent","-9999"
"Canton School District","900312270","2014-2015","English Language Learner","Suspensions","Percent","-9999"
"Canton School District","900312270","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Canton School District","900312270","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"Canton School District","900312270","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"Canton School District","900312270","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"Canton School District","900312270","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Capital Preparatory Harbor School Inc. District","","2009-2010","English Language Learner","Suspensions","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2010-2011","English Language Learner","Suspensions","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2011-2012","English Language Learner","Suspensions","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2012-2013","English Language Learner","Suspensions","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2013-2014","English Language Learner","Suspensions","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2014-2015","English Language Learner","Suspensions","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2015-2016","English Language Learner","Suspensions","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2016-2017","English Language Learner","Suspensions","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2017-2018","English Language Learner","Suspensions","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"Capital Preparatory Harbor School Inc. District","","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Capitol Region Education Council","","2009-2010","English Language Learner","Suspensions","Percent","14.1"
"Capitol Region Education Council","","2010-2011","English Language Learner","Suspensions","Percent","6.5"
"Capitol Region Education Council","","2011-2012","English Language Learner","Suspensions","Percent","10.2"
"Capitol Region Education Council","","2012-2013","English Language Learner","Suspensions","Percent","14.2"
"Capitol Region Education Council","","2013-2014","English Language Learner","Suspensions","Percent","11.5"
"Capitol Region Education Council","","2014-2015","English Language Learner","Suspensions","Percent","9.9"
"Capitol Region Education Council","","2015-2016","English Language Learner","Suspensions","Percent","7.5"
"Capitol Region Education Council","","2016-2017","English Language Learner","Suspensions","Percent","10.5"
"Capitol Region Education Council","","2017-2018","English Language Learner","Suspensions","Percent","7.6"
"Capitol Region Education Council","","2018-2019","English Language Learner","Suspensions","Percent","6.8"
"Capitol Region Education Council","","2019-2020","English Language Learner","Suspensions","Percent","4.4"
"Chaplin School District","","2009-2010","English Language Learner","Suspensions","Percent","-6666"
"Chaplin School District","","2010-2011","English Language Learner","Suspensions","Percent","-6666"
"Chaplin School District","","2011-2012","English Language Learner","Suspensions","Percent","-6666"
"Chaplin School District","","2012-2013","English Language Learner","Suspensions","Percent","-9999"
"Chaplin School District","","2013-2014","English Language Learner","Suspensions","Percent","-9999"
"Chaplin School District","","2014-2015","English Language Learner","Suspensions","Percent","-9999"
"Chaplin School District","","2015-2016","English Language Learner","Suspensions","Percent","-6666"
"Chaplin School District","","2016-2017","English Language Learner","Suspensions","Percent","-6666"
"Chaplin School District","","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"Chaplin School District","","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"Chaplin School District","","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Charter School for Young Children on Asylum Hill","","2009-2010","English Language Learner","Suspensions","Percent","-9999"
"Charter School for Young Children on Asylum Hill","","2010-2011","English Language Learner","Suspensions","Percent","-9999"
"Charter School for Young Children on Asylum Hill","","2011-2012","English Language Learner","Suspensions","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2012-2013","English Language Learner","Suspensions","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2013-2014","English Language Learner","Suspensions","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2014-2015","English Language Learner","Suspensions","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2015-2016","English Language Learner","Suspensions","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2016-2017","English Language Learner","Suspensions","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2017-2018","English Language Learner","Suspensions","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2018-2019","English Language Learner","Suspensions","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2019-2020","English Language Learner","Suspensions","Percent","-6666"
"Cheshire School District","900914160","2009-2010","English Language Learner","Suspensions","Percent","-9999"
"Cheshire School District","900914160","2010-2011","English Language Learner","Suspensions","Percent","-9999"
"Cheshire School District","900914160","2011-2012","English Language Learner","Suspensions","Percent","-9999"
"Cheshire School District","900914160","2012-2013","English Language Learner","Suspensions","Percent","-9999"
"Cheshire School District","900914160","2013-2014","English Language Learner","Suspensions","Percent","-9999"
"Cheshire School District","900914160","2014-2015","English Language Learner","Suspensions","Percent","-6666"
"Cheshire School District","900914160","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Cheshire School District","900914160","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"Cheshire School District","900914160","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"Cheshire School District","900914160","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"Cheshire School District","900914160","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Chester School District","","2009-2010","English Language Learner","Suspensions","Percent","-9999"
"Chester School District","","2010-2011","English Language Learner","Suspensions","Percent","-9999"
"Chester School District","","2011-2012","English Language Learner","Suspensions","Percent","-9999"
"Chester School District","","2012-2013","English Language Learner","Suspensions","Percent","-6666"
"Chester School District","","2013-2014","English Language Learner","Suspensions","Percent","-9999"
"Chester School District","","2014-2015","English Language Learner","Suspensions","Percent","-6666"
"Chester School District","","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Chester School District","","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"Chester School District","","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"Chester School District","","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"Chester School District","","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Clinton School District","900715350","2009-2010","English Language Learner","Suspensions","Percent","-9999"
"Clinton School District","900715350","2010-2011","English Language Learner","Suspensions","Percent","-9999"
"Clinton School District","900715350","2011-2012","English Language Learner","Suspensions","Percent","14.6"
"Clinton School District","900715350","2012-2013","English Language Learner","Suspensions","Percent","-9999"
