"District","FIPS","Year","English Learner Status","Variable","Measure Type","Value"
"Achievement First Bridgeport Academy District","","2009-2010","English Language Learner","Suspensions","Percent","-9999"
"Achievement First Bridgeport Academy District","","2010-2011","English Language Learner","Suspensions","Percent","23.3"
"Achievement First Bridgeport Academy District","","2011-2012","English Language Learner","Suspensions","Percent","23.0"
"Achievement First Bridgeport Academy District","","2012-2013","English Language Learner","Suspensions","Percent","13.2"
"Achievement First Bridgeport Academy District","","2013-2014","English Language Learner","Suspensions","Percent","28.1"
"Achievement First Bridgeport Academy District","","2014-2015","English Language Learner","Suspensions","Percent","26.2"
"Achievement First Bridgeport Academy District","","2015-2016","English Language Learner","Suspensions","Percent","20.0"
"Achievement First Bridgeport Academy District","","2016-2017","English Language Learner","Suspensions","Percent","11.5"
"Achievement First Bridgeport Academy District","","2017-2018","English Language Learner","Suspensions","Percent","5.3"
"Achievement First Bridgeport Academy District","","2018-2019","English Language Learner","Suspensions","Percent","9.7"
"Achievement First Bridgeport Academy District","","2019-2020","English Language Learner","Suspensions","Percent","5.4"
"Achievement First Hartford Academy District","","2009-2010","English Language Learner","Suspensions","Percent","28.6"
"Achievement First Hartford Academy District","","2010-2011","English Language Learner","Suspensions","Percent","28.0"
"Achievement First Hartford Academy District","","2011-2012","English Language Learner","Suspensions","Percent","23.6"
"Achievement First Hartford Academy District","","2012-2013","English Language Learner","Suspensions","Percent","46.3"
"Achievement First Hartford Academy District","","2013-2014","English Language Learner","Suspensions","Percent","34.5"
"Achievement First Hartford Academy District","","2014-2015","English Language Learner","Suspensions","Percent","26.9"
"Achievement First Hartford Academy District","","2015-2016","English Language Learner","Suspensions","Percent","22.9"
"Achievement First Hartford Academy District","","2016-2017","English Language Learner","Suspensions","Percent","24.0"
"Achievement First Hartford Academy District","","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"Achievement First Hartford Academy District","","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"Achievement First Hartford Academy District","","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Amistad Academy District","","2009-2010","English Language Learner","Suspensions","Percent","10.5"
"Amistad Academy District","","2010-2011","English Language Learner","Suspensions","Percent","13.7"
"Amistad Academy District","","2011-2012","English Language Learner","Suspensions","Percent","16.7"
"Amistad Academy District","","2012-2013","English Language Learner","Suspensions","Percent","27.0"
"Amistad Academy District","","2013-2014","English Language Learner","Suspensions","Percent","33.7"
"Amistad Academy District","","2014-2015","English Language Learner","Suspensions","Percent","22.1"
"Amistad Academy District","","2015-2016","English Language Learner","Suspensions","Percent","16.7"
"Amistad Academy District","","2016-2017","English Language Learner","Suspensions","Percent","12.2"
"Amistad Academy District","","2017-2018","English Language Learner","Suspensions","Percent","11.2"
"Amistad Academy District","","2018-2019","English Language Learner","Suspensions","Percent","5.6"
"Amistad Academy District","","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Andover School District","","2009-2010","English Language Learner","Suspensions","Percent","-9999"
"Andover School District","","2010-2011","English Language Learner","Suspensions","Percent","-9999"
"Andover School District","","2011-2012","English Language Learner","Suspensions","Percent","-9999"
"Andover School District","","2012-2013","English Language Learner","Suspensions","Percent","-9999"
"Andover School District","","2013-2014","English Language Learner","Suspensions","Percent","-9999"
"Andover School District","","2014-2015","English Language Learner","Suspensions","Percent","-9999"
"Andover School District","","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Andover School District","","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"Andover School District","","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"Andover School District","","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"Andover School District","","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Ansonia School District","900901220","2009-2010","English Language Learner","Suspensions","Percent","-9999"
"Ansonia School District","900901220","2010-2011","English Language Learner","Suspensions","Percent","-9999"
"Ansonia School District","900901220","2011-2012","English Language Learner","Suspensions","Percent","-9999"
"Ansonia School District","900901220","2012-2013","English Language Learner","Suspensions","Percent","-9999"
"Ansonia School District","900901220","2013-2014","English Language Learner","Suspensions","Percent","-9999"
"Ansonia School District","900901220","2014-2015","English Language Learner","Suspensions","Percent","-9999"
"Ansonia School District","900901220","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Ansonia School District","900901220","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"Ansonia School District","900901220","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"Ansonia School District","900901220","2018-2019","English Language Learner","Suspensions","Percent","4.9"
"Ansonia School District","900901220","2019-2020","English Language Learner","Suspensions","Percent","6.6"
"Area Cooperative Educational Services","","2009-2010","English Language Learner","Suspensions","Percent","33.3"
"Area Cooperative Educational Services","","2010-2011","English Language Learner","Suspensions","Percent","21.3"
"Area Cooperative Educational Services","","2011-2012","English Language Learner","Suspensions","Percent","20.5"
"Area Cooperative Educational Services","","2012-2013","English Language Learner","Suspensions","Percent","21.4"
"Area Cooperative Educational Services","","2013-2014","English Language Learner","Suspensions","Percent","26.0"
"Area Cooperative Educational Services","","2014-2015","English Language Learner","Suspensions","Percent","15.5"
"Area Cooperative Educational Services","","2015-2016","English Language Learner","Suspensions","Percent","19.0"
"Area Cooperative Educational Services","","2016-2017","English Language Learner","Suspensions","Percent","26.5"
"Area Cooperative Educational Services","","2017-2018","English Language Learner","Suspensions","Percent","12.5"
"Area Cooperative Educational Services","","2018-2019","English Language Learner","Suspensions","Percent","12.9"
"Area Cooperative Educational Services","","2019-2020","English Language Learner","Suspensions","Percent","8.3"
"Ashford School District","","2009-2010","English Language Learner","Suspensions","Percent","-9999"
"Ashford School District","","2010-2011","English Language Learner","Suspensions","Percent","-9999"
"Ashford School District","","2011-2012","English Language Learner","Suspensions","Percent","-9999"
"Ashford School District","","2012-2013","English Language Learner","Suspensions","Percent","-9999"
"Ashford School District","","2013-2014","English Language Learner","Suspensions","Percent","-9999"
"Ashford School District","","2014-2015","English Language Learner","Suspensions","Percent","-9999"
"Ashford School District","","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Ashford School District","","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"Ashford School District","","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"Ashford School District","","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"Ashford School District","","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Avon School District","900302060","2009-2010","English Language Learner","Suspensions","Percent","-9999"
"Avon School District","900302060","2010-2011","English Language Learner","Suspensions","Percent","-6666"
"Avon School District","900302060","2011-2012","English Language Learner","Suspensions","Percent","-6666"
"Avon School District","900302060","2012-2013","English Language Learner","Suspensions","Percent","-6666"
"Avon School District","900302060","2013-2014","English Language Learner","Suspensions","Percent","-6666"
"Avon School District","900302060","2014-2015","English Language Learner","Suspensions","Percent","-9999"
"Avon School District","900302060","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Avon School District","900302060","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"Avon School District","900302060","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"Avon School District","900302060","2018-2019","English Language Learner","Suspensions","Percent","-6666"
"Avon School District","900302060","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Barkhamsted School District","","2009-2010","English Language Learner","Suspensions","Percent","-9999"
"Barkhamsted School District","","2010-2011","English Language Learner","Suspensions","Percent","-9999"
"Barkhamsted School District","","2011-2012","English Language Learner","Suspensions","Percent","-9999"
"Barkhamsted School District","","2012-2013","English Language Learner","Suspensions","Percent","-9999"
"Barkhamsted School District","","2013-2014","English Language Learner","Suspensions","Percent","-9999"
"Barkhamsted School District","","2014-2015","English Language Learner","Suspensions","Percent","-6666"
"Barkhamsted School District","","2015-2016","English Language Learner","Suspensions","Percent","-6666"
"Barkhamsted School District","","2016-2017","English Language Learner","Suspensions","Percent","-6666"
"Barkhamsted School District","","2017-2018","English Language Learner","Suspensions","Percent","-6666"
"Barkhamsted School District","","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"Barkhamsted School District","","2019-2020","English Language Learner","Suspensions","Percent","-6666"
"Berlin School District","","2009-2010","English Language Learner","Suspensions","Percent","-9999"
"Berlin School District","","2010-2011","English Language Learner","Suspensions","Percent","8.5"
"Berlin School District","","2011-2012","English Language Learner","Suspensions","Percent","-9999"
"Berlin School District","","2012-2013","English Language Learner","Suspensions","Percent","-9999"
"Berlin School District","","2013-2014","English Language Learner","Suspensions","Percent","-9999"
"Berlin School District","","2014-2015","English Language Learner","Suspensions","Percent","-9999"
"Berlin School District","","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Berlin School District","","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"Berlin School District","","2017-2018","English Language Learner","Suspensions","Percent","-6666"
"Berlin School District","","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"Berlin School District","","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Bethany School District","","2009-2010","English Language Learner","Suspensions","Percent","-6666"
"Bethany School District","","2010-2011","English Language Learner","Suspensions","Percent","-9999"
"Bethany School District","","2011-2012","English Language Learner","Suspensions","Percent","-9999"
"Bethany School District","","2012-2013","English Language Learner","Suspensions","Percent","-6666"
"Bethany School District","","2013-2014","English Language Learner","Suspensions","Percent","-6666"
"Bethany School District","","2014-2015","English Language Learner","Suspensions","Percent","-9999"
